"Código do Município","Nome do Município","Código da UF","Unidade da Federação","Região","Ioeb","Ano do Ioeb","Insumos do Ioeb","Resultados do Ioeb","Total de Matrículas","População","Categoria do Quadrante"
"3300100","Angra dos Reis","33","RJ","Sudeste","4,3","2019","1,1","3,3","33.523","203.785",""
"3300100","Angra dos Reis","33","RJ","Sudeste","4,5","2021","1,1","3,4","33.983","203.785",""
"3300100","Angra dos Reis","33","RJ","Sudeste","4,9","2023","1,1","3,8","38.960","203.785","EM DESENVOLVIMENTO"
"3300159","Aperibé","33","RJ","Sudeste","5,1","2019","1,3","3,8","1.815","11.759",""
"3300159","Aperibé","33","RJ","Sudeste","4,9","2021","1,3","3,7","1.829","11.759",""
"3300159","Aperibé","33","RJ","Sudeste","5,2","2023","1,2","4,0","1.973","11.759","ATENÇÃO"
"3300209","Araruama","33","RJ","Sudeste","4,0","2019","0,8","3,2","26.850","132.400",""
"3300209","Araruama","33","RJ","Sudeste","4,3","2021","1,0","3,4","26.463","132.400",""
"3300209","Araruama","33","RJ","Sudeste","4,4","2023","1,0","3,4","28.702","132.400","EM DESENVOLVIMENTO"
"3300225","Areal","33","RJ","Sudeste","4,7","2019","1,0","3,7","2.237","12.572",""
"3300225","Areal","33","RJ","Sudeste","4,9","2021","1,1","3,8","2.236","12.572",""
"3300225","Areal","33","RJ","Sudeste","0,0","2023","1,1","0,0","2.449","12.572","ND"
"3300233","Armação dos Búzios","33","RJ","Sudeste","4,9","2019","1,0","3,9","9.814","40.532",""
"3300233","Armação dos Búzios","33","RJ","Sudeste","5,1","2021","1,0","4,1","9.891","40.532",""
"3300233","Armação dos Búzios","33","RJ","Sudeste","0,0","2023","0,0","0,0","10.484","40.532","ND"
"3300258","Arraial do Cabo","33","RJ","Sudeste","4,1","2019","1,0","3,1","6.955","30.349",""
"3300258","Arraial do Cabo","33","RJ","Sudeste","4,6","2021","1,1","3,5","6.386","30.349",""
"3300258","Arraial do Cabo","33","RJ","Sudeste","0,0","2023","1,0","0,0","8.469","30.349","ND"
"3300308","Barra do Piraí","33","RJ","Sudeste","4,1","2019","1,0","3,1","16.581","100.374",""
"3300308","Barra do Piraí","33","RJ","Sudeste","4,4","2021","1,1","3,4","16.138","100.374",""
"3300308","Barra do Piraí","33","RJ","Sudeste","4,6","2023","1,1","3,5","17.308","100.374","EM DESENVOLVIMENTO"
"3300407","Barra Mansa","33","RJ","Sudeste","4,2","2019","1,0","3,3","29.432","184.412",""
"3300407","Barra Mansa","33","RJ","Sudeste","4,2","2021","0,9","3,3","29.411","184.412",""
"3300407","Barra Mansa","33","RJ","Sudeste","4,7","2023","1,2","3,6","32.675","184.412","EM DESENVOLVIMENTO"
"3300456","Belford Roxo","33","RJ","Sudeste","3,8","2019","1,0","2,9","84.288","510.906",""
"3300456","Belford Roxo","33","RJ","Sudeste","4,0","2021","0,9","3,1","83.259","510.906",""
